file,return,buy_hold_return,trades,win_rate,max_dd,sharpe,sortino,profit_factor,avg_trade,best_trade,worst_trade,final_equity
FXS_ethereum_4H.csv,0.0,-64.41642510282747,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
GALA_ethereum_4H.csv,0.0,-45.08940969894014,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
GAS_ethereum_4H.csv,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
GMT_solana_4H.csv,0.0,-58.51568934341422,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
GOAT_solana_4H.csv,0.0,-57.455766742443984,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
GRASS_solana_4H.csv,0.0,-76.35808370626404,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
GRIFFAIN_solana_4H.csv,0.0,-67.83899194318444,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
HYPER_solana_4H.csv,0.0,-78.41435469870949,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
HYPE_solana_4H.csv,0.0,-28.339534828565156,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
ICP_ethereum_4H.csv,0.0,-32.499427878210916,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
ILV_ethereum_4H.csv,0.0,-31.043059910696602,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
IMX_ethereum_4H.csv,0.0,-24.037390500721965,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
INJ_ethereum_4H.csv,0.0,-46.46122620714995,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
IO_solana_4H.csv,0.0,-67.64880658452562,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
JTO_solana_4H.csv,0.0,-78.36964076572917,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
JUP_solana_4H.csv,0.0,-37.99355087910586,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
LAYER_solana_4H.csv,0.0,-64.08508108916783,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
LDO_ethereum_4H.csv,0.0,-14.599969429562423,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
LINEA_ethereum_4H.csv,0.0,-73.84265086742504,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
LINK_ethereum_4H.csv,0.0,0.34341877367516527,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
LOOM_solana_4H.csv,0.0,-0.14678002987157462,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MANTA_ethereum_4H.csv,0.0,-30.34808179219442,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MATIC_ethereum_4H.csv,0.0,-28.11986676860736,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MAVIA_ethereum_4H.csv,0.0,-63.12678074309039,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MEGA_ethereum_4H.csv,0.0,19.761405913757265,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MELANIA_solana_4H.csv,0.0,-49.798067037095656,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MET_solana_4H.csv,0.0,-41.11736933042154,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MEW_solana_4H.csv,0.0,-54.976259494777366,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
ME_solana_4H.csv,0.0,-52.20570863949063,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MKR_ethereum_4H.csv,-17.310228109822493,-41.59198916526369,26,38.46153846153847,-29.761683596397926,-1.1585836962154323,-0.9836742635377547,0.7556412285915656,-0.7435110303638304,9.332429740697139,-11.71396969831134,82689.77189017751
MNT_ethereum_4H.csv,0.0,70.07128466227955,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MON_solana_4H.csv,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MOODENG_solana_4H.csv,0.0,-48.34868010027422,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
MORPHO_ethereum_4H.csv,0.0,13.742123952894891,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
NEAR_ethereum_4H.csv,0.0,-12.446751588380728,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
NIL_ethereum_4H.csv,0.0,-65.95475544891609,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
OGN_ethereum_4H.csv,0.0,-27.288139619938324,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
ONDO_ethereum_4H.csv,0.0,-33.32460024399771,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
ORBS_ethereum_4H.csv,0.0,-54.9433864022595,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
PANDORA_ethereum_4H.csv,-2.3548337154359467,-65.28296302107537,14,42.857142857142854,-9.868480256084379,-0.2793412163210328,-0.4140831539365442,0.9359957072877961,-0.17003869261132953,5.436625653753962,-4.83962967572578,97645.16628456405
PAXG_solana_4H.csv,1.8078133059877728,19.599114995324175,19,52.63157894736842,-12.458125494280193,0.279162247446337,0.4551024766466541,1.1737148933304655,0.08942210845941378,6.822613677163818,-2.7736315197333945,101807.81330598777
PENDLE_ethereum_4H.csv,0.0,-26.635588077128237,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
PENGU_solana_4H.csv,0.0,19.093688048337036,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
POL_ethereum_4H.csv,0.0,-27.97226580866436,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
POPCAT_solana_4H.csv,0.0,-63.26538093404325,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
PROMPT_ethereum_4H.csv,0.0,-59.06507634791802,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
PUMP_solana_4H.csv,0.0,-33.984836593737924,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
