file,return,buy_hold_return,trades,win_rate,max_dd,sharpe,profit_factor,avg_trade,final_equity
2Z_solana_4H.csv,-39.93811344651637,-47.50576220816392,2,0.0,-41.389548054744196,-32.50226320498365,0.0,-16.76718477139221,60061.88655348364
AAVE_ethereum_4H.csv,-14.171172578790166,-14.118545657945239,5,60.0,-27.42539628991677,-1.0865804635472203,0.4712916107316492,-3.020550336246808,85828.82742120983
ACE_solana_4H.csv,-51.371948345244434,429.20918561959496,9,66.66666666666666,-83.35539902127809,-2.1288607865664497,0.3990890638491158,-10.858203392138977,48628.05165475557
ADA_solana_4H.csv,-33.79680801333512,-24.110655444992403,10,40.0,-45.613138662827964,-2.8232819982869253,0.4609837320104946,-3.9159708563866746,66203.19198666488
AI16Z_solana_4H.csv,-31.10027625855882,-93.65903253110545,8,37.5,-55.552890208381854,-1.5480507365332261,0.8067708609501861,-4.556452827102831,68899.72374144118
AIXBT_solana_4H.csv,68.04799952158605,-67.10731797617588,7,85.71428571428571,-18.184217599446583,1.124210237232278,6.0514398512573795,7.2441415018167366,168047.99952158605
AI_solana_4H.csv,-11.137630193831981,-29.121116100127402,12,58.333333333333336,-21.410992455898203,-1.2803774464405315,0.6507809360665323,-0.9802895308677506,88862.36980616802
ALT_ethereum_4H.csv,16.413731681393255,-48.00120734468175,11,63.63636363636363,-18.649210600028287,0.6355354242881281,1.680776255478414,1.6072846585053258,116413.73168139326
ANIME_ethereum_4H.csv,-31.740975293577193,-63.97079452282639,7,42.857142857142854,-43.92756040247902,-2.3937634605023304,0.2496564228982989,-5.315114553605427,68259.0247064228
APEX_solana_4H.csv,-56.687157559919974,-69.85921952037168,8,50.0,-70.31628483964528,-3.431227755259208,0.5566328782471255,-10.121037933870314,43312.84244008003
APE_solana_4H.csv,42.13091299019413,-61.804811120665015,7,71.42857142857143,-15.422213762181247,1.428282642829764,5.776374140537414,5.155791740175775,142130.91299019413
ASTER_solana_4H.csv,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,100000.0
BADGER_ethereum_4H.csv,-16.076630445306613,-31.656993313168986,6,50.0,-19.68404306492143,-1.8738060978632889,0.46168397223925234,-2.951781894968386,83923.36955469339
BANANA_ethereum_4H.csv,39.71833671636894,-37.77472361086128,6,83.33333333333334,-30.929317615018338,0.7074591806295714,2.5943850494260463,5.735736949305892,139718.33671636894
BIGTIME_ethereum_4H.csv,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,100000.0
BIO_solana_4H.csv,-57.54030793454419,41.35013948533415,9,22.22222222222222,-59.130804585386144,-9.000319384736182,0.18083655627711848,-9.088812013931879,42459.69206545581
BLUR_ethereum_4H.csv,-33.21576984394125,16.476741541533016,1,0.0,-33.215769843941246,-2.6877810187258246,0.0,-33.24898561399456,66784.23015605875
BLZ_ethereum_4H.csv,4.460071772587194,-43.9609382574701,9,55.55555555555556,-16.05298504839595,0.2835863689714261,1.3496920033455042,0.4863041538402335,104460.0717725872
BNB_ethereum_4H.csv,-42.44261748136912,66.23133229832034,12,33.33333333333333,-51.98493971428473,-3.2512555088486668,0.512627458555193,-4.298082498443301,57557.38251863088
BOME_solana_4H.csv,-18.299019354328426,-41.03487419890177,12,58.333333333333336,-33.95573477544275,-0.8324248639558255,0.9285215463604736,-1.4973754840873377,81700.98064567157
BRETT_ethereum_4H.csv,-66.53627586652614,-75.66988529587432,11,36.36363636363637,-77.10902117112268,-6.887723528910078,0.32337944004544994,-9.4845025632602,33463.724133473865
BTC_solana_4H.csv,-5.1571607218046704,-22.079163031373973,2,50.0,-8.177457713029723,-1.005861993400377,0.17988541417869705,-1.3004054748956273,94842.83927819533
CAKE_solana_4H.csv,26.75049487743889,-9.499929107349903,8,75.0,-20.67489214931585,1.1046542318168067,2.3781364264067424,3.0101213065387267,126750.49487743889
CC_ethereum_4H.csv,-1.3144760523747536,27.484335393242542,14,64.28571428571429,-9.79470540089502,-0.13474238892550497,0.9942336009675448,-0.07985557140051114,98685.52394762525
CHILLGUY_solana_4H.csv,-13.885851997030027,-54.04347025590428,7,57.14285714285714,-39.2589520448542,-0.6357030560499007,0.8513280958852691,-2.1164018031796017,86114.14800296997
COMP_ethereum_4H.csv,-9.311681851539513,-32.71152431597646,8,50.0,-14.987970813860919,-0.9890926000458111,0.5215988868148941,-1.0115672462613023,90688.31814846049
CRV_ethereum_4H.csv,12.459872799823511,-15.26730312430673,9,66.66666666666666,-19.156325454477262,0.4421332254231394,3.493740659946789,3.48379390248994,112459.87279982351
DOGE_solana_4H.csv,52.59431819230787,-70.71262324116819,16,75.0,-33.406243311159,0.8224072107553111,2.185140476480024,2.7612988751878564,152594.31819230787
DOOD_solana_4H.csv,373.40630742495887,100.86946927672082,12,83.33333333333334,-30.81887294255936,0.19083759822833707,8.218262218318383,14.06642534910063,473406.30742495885
DOT_ethereum_4H.csv,13.622752467256127,-46.81974459665913,7,71.42857142857143,-12.487417501141962,0.8399722901346293,2.119040038033688,1.8428926668516254,113622.75246725613
EIGEN_ethereum_4H.csv,-18.73824380128409,-36.82254616678093,9,66.66666666666666,-35.638289534243704,-0.8810115795672484,0.8310126578844189,-2.0526597951493475,81261.75619871591
ENA_ethereum_4H.csv,-3.550622666433919,16.355051872205735,8,75.0,-37.23475603948734,-0.1695991856871921,1.041923223475686,-0.4520200898571525,96449.37733356608
ENS_ethereum_4H.csv,-8.853512637912559,-32.65110995747076,10,70.0,-30.984239698377536,-0.6452749274776964,0.7993892505310213,-0.924294799802583,91146.48736208744
