file,return,buy_hold_return,trades,win_rate,max_dd,sharpe,profit_factor,avg_trade,final_equity
2Z_solana_4H.csv,17.18608647918803,-20.47079829988834,1,100.0,-3.960038107640851,3.011448652931141,0.0,17.203278713537173,117186.08647918803
AAVE_ethereum_4H.csv,-18.474601513483037,-41.10112275256041,19,15.789473684210526,-29.381452833931398,-1.503339322633027,0.6884284088504917,-1.0725051333811075,81525.39848651696
ACE_solana_4H.csv,-46.33267506699801,927.5375019288717,22,22.727272727272727,-46.63929623060368,-4.357843130482234,0.3912821098260639,-2.792716521022698,53667.32493300199
ADA_solana_4H.csv,-24.8432385339951,-38.99653439012351,38,23.684210526315788,-36.494628433289364,-2.1344475137792798,0.6978866302987407,-0.7496001628271909,75156.7614660049
AI16Z_solana_4H.csv,8.259285814464908,-95.57735930723807,9,55.55555555555556,-29.457039542696208,0.36677441918808285,1.3683042029203274,0.8861046627625324,108259.2858144649
AIXBT_solana_4H.csv,-11.944354868052745,-72.16247735683172,14,35.714285714285715,-21.837852319567887,-0.8783606732134617,0.8053422329835954,-0.9056030863500819,88055.64513194725
AI_solana_4H.csv,-34.12262781919719,-47.14383136991976,34,26.47058823529412,-35.39102351970301,-3.98289666842072,0.45827635360725333,-1.2213596923114411,65877.3721808028
ALT_ethereum_4H.csv,-30.394080851901496,-59.07093504145995,18,38.88888888888889,-39.595270599875185,-2.161541069436327,0.5329025245612026,-1.9950402146154733,69605.9191480985
ANIME_ethereum_4H.csv,-11.048397154069681,-72.09131109636073,16,31.25,-20.037805705985857,-1.0035743322578994,0.7108055814714996,-0.7967022416306535,88951.60284593032
APEX_solana_4H.csv,-39.79100581089573,-54.177343124223086,17,29.411764705882355,-53.710132815485736,-1.4431849423439544,0.6478188254362853,-3.2638169343855106,60208.99418910427
APE_solana_4H.csv,11.118604899466794,-47.88167501281472,5,60.0,-9.903471300545185,0.790884805034382,1.9221695522791522,2.1327779898027144,111118.6048994668
BADGER_ethereum_4H.csv,-3.612851595803266,-51.68223181019115,13,30.76923076923077,-10.75985093287236,-0.5342843929873196,0.795477632583241,-0.2829667702887173,96387.14840419673
BANANA_ethereum_4H.csv,38.791258972770535,-61.274790551089545,14,57.14285714285714,-13.974213372271604,1.063966139909015,2.333544247481754,2.3714988777383983,138791.25897277053
BIGTIME_ethereum_4H.csv,0.0,0.0,0,0.0,-0.0,0.0,0.0,0.0,100000.0
BIO_solana_4H.csv,-39.83533654823132,-12.91080811154438,20,30.0,-52.15356084252682,-2.2939088410880957,0.6142723503517227,-2.5114367460709386,60164.66345176868
BLUR_ethereum_4H.csv,7.034851662006301,-38.10617270516612,1,100.0,-0.09990009989770954,1.2971833661940766,0.0,7.041886513836815,107034.8516620063
BLZ_ethereum_4H.csv,4.036757977494956,-49.57343635333512,10,50.0,-10.654241662985363,0.5568692679917993,1.478261038528764,0.3968823622825024,104036.75797749496
BNB_ethereum_4H.csv,117.96050222330877,11.019405730952155,19,47.368421052631575,-25.403471314713798,0.9494629949929364,2.9350685515352244,4.2106177413313794,217960.50222330875
BOME_solana_4H.csv,43.9844483155536,-67.36647750134283,21,52.38095238095239,-20.21002627515136,0.8941871548952635,1.8470766703743076,1.7524590103409565,143984.4483155536
BRETT_ethereum_4H.csv,-17.219472466418416,-88.09311218268391,29,31.03448275862069,-47.99281966993598,-0.7818228178657595,0.8605092464042622,-0.6504224231671185,82780.52753358158
BTC_solana_4H.csv,-1.6089912345948105,-22.311393866801936,2,50.0,-3.7430480965948476,-0.5764154654649667,0.3745887700027822,-0.9798293831830396,98391.00876540519
CAKE_solana_4H.csv,-19.749813712523466,-13.167039959441675,17,29.411764705882355,-41.77683295584455,-1.229086239097796,0.6995032172684786,-1.2874977586432967,80250.18628747654
CC_ethereum_4H.csv,-12.091308091788669,-10.764574654663795,26,34.61538461538461,-14.718193742587571,-1.547247797938268,0.5377606890501562,-0.4949514643906805,87908.69190821133
CHILLGUY_solana_4H.csv,17.61760189700613,-70.53467700830495,11,54.54545454545454,-17.950482189876958,0.7647362710315735,1.372877390131521,0.7612926067010584,117617.60189700613
COMP_ethereum_4H.csv,-21.285436014258696,-40.080660638632025,32,28.125,-37.73128347511854,-1.8335460242891146,0.628312170283609,-0.746231156017052,78714.5639857413
CRV_ethereum_4H.csv,-10.28417250868585,-53.86673158849737,15,33.33333333333333,-34.39825229012563,-0.5585831281474105,0.870342973945218,-0.6354858372046857,89715.82749131415
DOGE_solana_4H.csv,17.40579594376932,-65.67942780407081,17,58.82352941176471,-16.175264780963474,0.7250621844892468,1.623695113170231,0.9491418103077187,117405.79594376932
DOOD_solana_4H.csv,-54.060566830154855,12.37336761853081,18,27.77777777777778,-66.83628221872608,-5.865016830970501,0.3164827602366887,-4.233887711863682,45939.43316984515
DOT_ethereum_4H.csv,-23.785446206295077,-45.430241245742295,21,28.57142857142857,-25.297116365183868,-4.062156002180653,0.3573459498884044,-1.2864510148858255,76214.55379370492
EIGEN_ethereum_4H.csv,30.92456331831901,-59.17183648656912,14,42.857142857142854,-18.049677881244463,0.7139453209836537,2.2095320681658417,1.9448899719346269,130924.56331831901
ENA_ethereum_4H.csv,71.64568616810531,-23.69092748139701,14,50.0,-20.497637028258065,0.897882665355435,3.111714566828727,3.937760526494105,171645.6861681053
ENS_ethereum_4H.csv,17.713029165992165,-56.9367705669654,18,44.44444444444444,-14.894337244262045,0.8696383397652961,1.624902314782737,0.9108768213566432,117713.02916599216
