symbol,hourly_rate,annual_rate,mark_price,open_interest
kFLOKI,-0.006469429999999999,-56.6722068,0.043314,29947540.0
BOME,0.00125,10.95,0.000651,247117506.0
ETHFI,0.00125,10.95,0.77735,5825716.2
ENA,-0.00285413,-25.0021788,0.2399,184817480.0
MNT,0.00125,10.95,0.98291,3237195.4
TNSR,-0.09725915,-851.990154,0.11695,16379286.6
SAGA,-0.00181059,-15.8607684,0.07007,14262374.0
MERL,-0.07418828,-649.8893327999999,0.35198,6940440.0
HBAR,-0.00057469,-5.0342844,0.1317,21804518.0
POPCAT,0.00125,10.95,0.095887,33240360.0
OMNI,0.0,0.0,4.1915,0.0
EIGEN,-0.0022608000000000003,-19.804608,0.5046,6524238.26
REZ,-0.013284589999999999,-116.37300839999999,0.006011,126297250.0
NOT,-3.2370000000000003e-05,-0.2835612,0.000535,572640982.0
TURBO,-0.00511079,-44.770520399999995,0.001785,818470208.0
BRETT,0.00125,10.95,0.015005,108871906.0
IO,-0.01452638,-127.2510888,0.1966,2402768.6
ZK,-0.0023975700000000003,-21.002713200000006,0.033499,31826104.0
BLAST,-0.03312578,-290.18183280000005,0.000844,1116555180.0
LISTA,0.0,0.0,0.12466,0.0
MEW,0.00075783,6.6385908,0.001038,500713974.0
RENDER,0.00125,10.95,1.5855,769902.2
kDOGS,0.0,0.0,0.13659,0.0
POL,-0.01007963,-88.29755879999999,0.12075,18750932.0
CATI,0.0,0.0,0.082821,0.0
CELO,0.00125,10.95,0.15485,1433278.0
HMSTR,0.00125,10.95,0.000217,552657264.0
SCR,0.00125,10.95,0.08758,1439124.6
NEIROETH,0.0,0.0,0.01808,0.0
kNEIRO,0.0001376,1.2053760000000002,0.11968,3378380.0
GOAT,-0.00898484,-78.70719839999998,0.037701,12891636.0
MOODENG,-0.0015877200000000001,-13.908427200000002,0.070139,27822742.0
GRASS,0.00125,10.95,0.30229,3056455.3999999994
PURR,0.00125,10.95,0.076009,44098674.0
PNUT,-0.0038248699999999997,-33.5058612,0.07981,19508354.4
XLM,-0.000355,-3.1098,0.23241,13382904.0
CHILLGUY,0.00125,10.95,0.019148,29477672.0
SAND,-0.0064218,-56.254968000000005,0.14032,4288670.0
IOTA,0.00125,10.95,0.097594,4590706.0
ALGO,-0.005984000000000001,-52.41984000000001,0.12909,10421724.0
HYPE,0.00125,10.95,31.698,26179415.939999998
ME,-0.015187180000000002,-133.0396968,0.3172,2295828.0
MOVE,0.0012448399999999999,10.904798399999999,0.045902,18337084.0
VIRTUAL,-0.00020072,-1.7583072,0.82925,7837027.2
PENGU,-0.0014773199999999998,-12.9413232,0.00974,361753098.0
USUAL,0.00125,10.95,0.02444,41910316.6
FARTCOIN,0.00125,10.95,0.31378,181092755.20000002
AI16Z,0.0,0.0,0.06157,0.0
AIXBT,-0.00140047,-12.2681172,0.040065,12563690.0
ZEREBRO,0.005962070000000001,52.22773320000001,0.02905,240257752.0
BIO,-0.0052471900000000005,-45.96538440000001,0.049765,17663650.0
GRIFFAIN,0.00125,10.95,0.02031,92599954.0
SPX,0.00125,10.95,0.61867,7138456.399999999
S,-0.0035303699999999997,-30.926041199999997,0.095183,23000832.0
MORPHO,0.00125,10.95,1.3556,1789004.2
TRUMP,0.00110197,9.6532572,5.7266,2616601.400000001
MELANIA,0.0009909600000000001,8.680809600000002,0.11581,13254246.4
ANIME,-0.54386986,-4764.2999736,0.006715,120744498.0
VINE,0.00125,10.95,0.02862,22022338.0
VVV,-0.00405728,-35.5417728,0.949,776619.9
JELLY,0.0,0.0,0.037555,0.0
