symbol,hourly_rate,annual_rate,mark_price,open_interest
BTC,-0.00055178,-4.8335928,86965.0,24439.15886
ETH,0.00125,10.95,2804.5,474118.3679999998
ATOM,-0.00895344,-78.4321344,2.2603,1866028.5
MATIC,0.0,0.0,0.37621,0.0
DYDX,0.00125,10.95,0.21755,14856422.6
SOL,-4.904e-05,-0.4295904,127.2,3192240.8
AVAX,-0.00043003000000000003,-3.7670628,13.005,1797421.52
BNB,-0.00097726,-8.5607976,830.45,38438.666
APE,0.00125,10.95,0.23634,4652318.800000001
OP,-0.0028556700000000003,-25.0156692,0.28765,10052299.4
LTC,0.00036627999999999997,3.2086127999999996,77.99,211726.2
ARB,0.00125,10.95,0.19435,19907620.000000004
DOGE,0.00070969,6.2168844000000005,0.13554,222729148.0
INJ,-0.00181785,-15.924366,5.3022,425117.0
SUI,0.00048756000000000005,4.2710256,1.3467,13711353.000000002
kPEPE,0.00125,10.95,0.004014,2481062154.0
CRV,0.0009651,8.454276,0.38109,16522587.4
LDO,0.00059101,5.1772476,0.56124,8544833.399999999
LINK,0.00125,10.95,12.126,1650969.7999999998
STX,-0.00011915,-1.043754,0.27972,3990722.8000000003
RNDR,0.0,0.0,6.8952,0.0
CFX,0.00125,10.95,0.069202,9610302.0
FTM,0.0,0.0,0.71688,0.0
GMX,-0.00539289,-47.241716399999994,8.1619,79752.3
SNX,-0.00032508,-2.8477008,0.50949,1718964.8
XRP,0.00125,10.95,2.0167,97828930.0
BCH,0.00046132000000000004,4.0411632,522.31,10897.408
APT,-0.00505914,-44.3180664,1.9403,5165158.5200000005
AAVE,0.00125,10.95,168.85,145781.04
COMP,-0.0191272,-167.55427200000003,34.392,36659.94
MKR,0.0,0.0,1831.5,0.0
WLD,-0.0018062100000000002,-15.822399600000002,0.57327,8618132.0
FXS,-0.006384,-55.92384,0.78615,500504.2
HPOS,0.0,0.0,0.041873,0.0
RLB,0.0,0.0,0.071,0.0
UNIBOT,0.0,0.0,7.636,0.0
YGG,0.00041406,3.6271656,0.070646,2373504.0
TRX,0.0010869,9.521244,0.27715,26551848.0
kSHIB,-0.00317617,-27.823249200000003,0.007935,602468168.0
UNI,0.00125,10.95,5.4878,5330666.2
SEI,-0.00542604,-47.5321104,0.12272,27659654.0
RUNE,-0.00130569,-11.4378444,0.6111,4140977.0
OX,0.0,0.0,0.007459,0.0
FRIEND,0.0,0.0,4.72,0.0
SHIA,0.0,0.0,0.000621,0.0
CYBER,0.0,0.0,1.0415,0.0
ZRO,-0.0046659100000000005,-40.873371600000006,1.2783,2110438.6000000006
BLZ,0.0,0.0,0.070043,0.0
DOT,-0.00131613,-11.5292988,2.0647,2519723.0
BANANA,0.00125,10.95,8.0185,38748.0
