symbol,hourly_rate,annual_rate,mark_price,open_interest
BTC,-0.00040963,-3.5883588,86884.0,24456.4256
ETH,0.00125,10.95,2801.0,474219.1224000001
ATOM,-0.00608888,-53.338588800000004,2.2588,1863948.08
MATIC,0.0,0.0,0.37621,0.0
DYDX,0.00125,10.95,0.21664,14857390.4
SOL,0.00012646,1.1077896,126.78,3194129.0999999987
AVAX,0.00012632,1.1065632,13.005,1797245.34
BNB,0.0005485199999999999,4.8050352,829.26,38348.682
APE,0.00125,10.95,0.23635,4671230.399999999
OP,0.00125,10.95,0.28705,10039598.6
LTC,0.00033716999999999997,2.9536092,77.942,211730.18
ARB,0.00125,10.95,0.19376,19745431.0
DOGE,0.00125,10.95,0.13514,222687648.0
INJ,-0.0003851,-3.3734759999999997,5.2848,425164.0
SUI,0.00125,10.95,1.343,13703610.200000001
kPEPE,0.00125,10.95,0.004008,2479935668.0
CRV,0.00021893,1.9178267999999998,0.38015,16527548.4
LDO,0.00089167,7.811029200000001,0.56031,8535330.0
LINK,0.00125,10.95,12.104,1651181.7999999998
STX,0.00015774999999999999,1.3818899999999998,0.279,3986880.4
RNDR,0.0,0.0,6.8952,0.0
CFX,0.00125,10.95,0.06901,9605794.0
FTM,0.0,0.0,0.71688,0.0
GMX,-0.00415897,-36.4325772,8.1582,80006.26
SNX,-0.00070845,-6.206021999999999,0.50895,1718661.8
XRP,0.00125,10.95,2.0121,97805416.0
BCH,0.00125,10.95,522.44,10914.1
APT,-0.00555408,-48.65374080000001,1.9153,5161861.340000001
AAVE,0.00125,10.95,169.07,145808.78
COMP,-0.01739637,-152.39220120000002,34.087,36760.42
MKR,0.0,0.0,1831.5,0.0
WLD,2.999e-05,0.26271239999999996,0.57213,8629867.200000001
FXS,-0.00469177,-41.099905199999995,0.78699,508821.8
HPOS,0.0,0.0,0.041873,0.0
RLB,0.0,0.0,0.071,0.0
UNIBOT,0.0,0.0,7.636,0.0
YGG,0.00125,10.95,0.070708,2380100.0
TRX,0.00125,10.95,0.27767,26557456.0
kSHIB,-0.00354729,-31.0742604,0.007923,600458326.0
UNI,0.00125,10.95,5.4863,5331068.800000001
SEI,-0.0044894900000000005,-39.3279324,0.12219,27479372.0
