symbol,hourly_rate,annual_rate,mark_price,open_interest
BTC,-0.00056627,-4.9605252,86953.0,24435.15344
ETH,0.00125,10.95,2804.3,474111.2957999999
ATOM,-0.0090061,-78.893436,2.2586,1866403.78
MATIC,0.0,0.0,0.37621,0.0
DYDX,0.00125,10.95,0.2175,14856422.6
SOL,-5.628e-05,-0.49301280000000003,127.15,3191534.7800000003
AVAX,-0.00037117,-3.2514491999999997,13.005,1796933.3
BNB,-0.0010003,-8.762628,830.54,38445.396
APE,0.00125,10.95,0.2361,4652766.0
OP,-0.0029033699999999997,-25.4335212,0.28783,10052203.0
LTC,0.00041797,3.6614172,77.955,211725.32
ARB,0.00125,10.95,0.19434,19858244.6
DOGE,0.0007080599999999999,6.202605599999999,0.13549,222729566.0
INJ,-0.00188215,-16.487634,5.2998,425130.4
SUI,0.00047096,4.1256096,1.346,13696755.8
kPEPE,0.00125,10.95,0.004013,2481062154.0
CRV,0.00103678,9.0821928,0.3809,16518526.200000001
LDO,0.00060672,5.3148672,0.56181,8544833.399999999
LINK,0.00121906,10.678965599999998,12.123,1650975.4
STX,-0.00010433,-0.9139307999999999,0.27957,3990831.2
RNDR,0.0,0.0,6.8952,0.0
CFX,0.00125,10.95,0.06914,9609166.0
FTM,0.0,0.0,0.71688,0.0
GMX,-0.005571410000000001,-48.80555160000001,8.1578,79760.48
SNX,-0.00032616,-2.8571615999999995,0.5092,1719120.0
XRP,0.00125,10.95,2.015,97768532.0
BCH,0.00044896000000000004,3.9328896000000007,521.15,10895.914
APT,-0.00498112,-43.6346112,1.9383,5165689.8
AAVE,0.00125,10.95,168.81,145730.72
COMP,-0.01866002,-163.4617752,34.525,36661.48
MKR,0.0,0.0,1831.5,0.0
WLD,-0.00179967,-15.7651092,0.5731,8618195.0
FXS,-0.00635258,-55.6486008,0.78611,500503.0
HPOS,0.0,0.0,0.041873,0.0
RLB,0.0,0.0,0.071,0.0
UNIBOT,0.0,0.0,7.636,0.0
YGG,0.00042636000000000003,3.7349136000000005,0.070753,2372064.0
TRX,0.00109416,9.584841599999999,0.27708,26551684.0
