address,symbol,name,liquidity_usd,volume_24h_usd,volume_1h_usd,volume_1h_percent,holder_count,price_change_24h,current_price,three_day_low,price_vs_3d_low,pool_age_hours,volume_surge,market_cap,fdv,buy_24h,sell_24h,unique_wallet_24h,screened_at,birdeye_link,dexscreener_link,chain,period_low,price_vs_low
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,USDT,159407462.00680423,401408342.02761006,11461716.744757708,2.86,2673496,0.0,1.00031,0.9983156540087956,1.002,established,True,2740766648.130787,2740766648.130787,354920,379382,30830,2025-12-04T14:12:06.223816,https://birdeye.so/token/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB?chain=solana,https://dexscreener.com/solana/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,,,
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,Coinbase Wrapped BTC,23030033.31410964,74641653.70038891,1401533.2469674037,1.88,52954,-0.75,93056.436102294,83807.41146808272,1.11,established,True,405972410.4546775,405972410.45188576,109977,107840,4319,2025-12-04T14:12:06.907088,https://birdeye.so/token/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij?chain=solana,https://dexscreener.com/solana/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,,,
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,Jupiter Perps LP,20910959.445258275,52002215.50580491,1019219.5278773172,1.96,64754,0.29,4.8278417175237,4.4092632993402585,1.095,established,True,1758400907.6520865,1758395769.9726286,79966,80353,4250,2025-12-04T14:12:08.834466,https://birdeye.so/token/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4?chain=solana,https://dexscreener.com/solana/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,,,
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,OFFICIAL TRUMP,299621334.98631954,36957054.51418516,1468297.4674584826,3.97,631897,0.42,6.086353922274702,5.608692802501664,1.085,established,True,1217266022.4559965,6086349324.076438,10344,9615,2455,2025-12-04T14:12:10.475899,https://birdeye.so/token/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN?chain=solana,https://dexscreener.com/solana/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,,,
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,USDT,159407367.23882237,402397777.19158256,12451151.908730203,3.09,2673484,0.0,1.00031,0.9983156540087956,1.002,established,True,2740766648.130787,2740766648.130787,355600,380052,30818,2025-12-04T14:15:41.871994,https://birdeye.so/token/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB?chain=solana,https://dexscreener.com/solana/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,,,
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,Coinbase Wrapped BTC,23026328.12932366,74670578.82730773,1430458.3738862355,1.92,52958,-0.6,93026.9580518148,83807.41146808272,1.11,established,True,405843808.11710906,405843808.1143182,110080,107939,4321,2025-12-04T14:15:42.743799,https://birdeye.so/token/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij?chain=solana,https://dexscreener.com/solana/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,,,
27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,JLP,Jupiter Perps LP,20910959.44525828,52175870.57933501,1192874.6014074164,2.29,64753,0.08,4.818122973302349,4.4092632993402585,1.093,established,True,1754861137.7797575,1754856010.4427664,80060,80483,4256,2025-12-04T14:15:44.085183,https://birdeye.so/token/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4?chain=solana,https://dexscreener.com/solana/27G8MtK7VtTcCHkpASjSDdkWWYfoqT6ggEuKidVJidD4,,,
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,OFFICIAL TRUMP,299621334.98631954,36957223.29407257,1468466.2473458936,3.97,631894,0.23,6.085777194725215,5.608692802501664,1.085,established,True,1217150677.397334,6085772596.962665,10349,9622,2457,2025-12-04T14:15:45.602443,https://birdeye.so/token/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN?chain=solana,https://dexscreener.com/solana/6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,,,
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,USDT,USDT,159407367.23882237,403944885.5066269,13552182.24652492,3.35,2673520,0.0,1.00031,0.9983156540087956,1.002,established,True,2740766648.130787,2740766648.130787,356766,381259,30838,2025-12-04T14:20:35.842728,https://birdeye.so/token/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB?chain=solana,https://dexscreener.com/solana/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,,,
cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,cbBTC,Coinbase Wrapped BTC,23022634.322756805,74745979.55973879,1277766.8115545264,1.71,52962,-0.89,93006.74849381996,83807.41146808272,1.11,established,True,405755640.9433268,405755640.94053656,110235,108085,4324,2025-12-04T14:20:36.695760,https://birdeye.so/token/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij?chain=solana,https://dexscreener.com/solana/cbbtcf3aa214zXHbiAZQwf4122FBYbraNdFqgw4iMij,,,
