open,high,low,close,volume,unixTime,address,type,currency,timestamp
227.3954195251292,234.78019532315002,225.23017392081533,226.94498224075537,28920137.858871758,1733961600,So11111111111111111111111111111111111111112,1D,usd,2024-12-12
226.94498224075537,228.63842998298117,220.59205206545238,224.8102795408834,28249010.142441873,1734048000,So11111111111111111111111111111111111111112,1D,usd,2024-12-13
224.8102795408834,227.73694650445353,215.11925417895668,219.8823211913784,25074785.020494986,1734134400,So11111111111111111111111111111111111111112,1D,usd,2024-12-14
219.8823211913784,225.48689613646795,215.61521882063155,224.20635095225506,23115282.247928187,1734220800,So11111111111111111111111111111111111111112,1D,usd,2024-12-15
224.20635095225506,227.38439533498465,211.69432167957177,216.21651719631083,29327462.234856173,1734307200,So11111111111111111111111111111111111111112,1D,usd,2024-12-16
216.21651719631083,228.93776848838212,211.47334440580715,223.18885392336682,37000361.0952202,1734393600,So11111111111111111111111111111111111111112,1D,usd,2024-12-17
223.18885392336682,226.04622901800673,202.5401265489766,206.57279521022755,38334373.12133079,1734480000,So11111111111111111111111111111111111111112,1D,usd,2024-12-18
206.57279521022755,212.63987043451226,186.01331069806457,193.55384331497146,42108573.00198208,1734566400,So11111111111111111111111111111111111111112,1D,usd,2024-12-19
193.55384331497146,199.74454217514975,172.28411655681913,194.4677748455439,45085517.971408404,1734652800,So11111111111111111111111111111111111111112,1D,usd,2024-12-20
194.4677748455439,201.9530298003058,178.3189405403526,181.3500726317162,36066063.40855041,1734739200,So11111111111111111111111111111111111111112,1D,usd,2024-12-21
181.3500726317162,187.7569704581955,176.7159336808261,180.3769479087135,32230640.240590494,1734825600,So11111111111111111111111111111111111111112,1D,usd,2024-12-22
180.3769479087135,193.2205032220274,176.3157655574429,189.94291076973056,32222621.331871275,1734912000,So11111111111111111111111111111111111111112,1D,usd,2024-12-23
189.94291076973056,198.8881611309932,185.85930918738103,196.9639659169262,24977760.676101852,1734998400,So11111111111111111111111111111111111111112,1D,usd,2024-12-24
196.9639659169262,202.25894065506753,194.91193168756394,197.31060028617762,20048910.081364445,1735084800,So11111111111111111111111111111111111111112,1D,usd,2024-12-25
197.31060028617762,200.06158976098803,186.3737428298216,188.2464501042645,23605993.713432018,1735171200,So11111111111111111111111111111111111111112,1D,usd,2024-12-26
188.2464501042645,194.1329822074393,182.12355480486158,183.98988496142908,21705830.321564857,1735257600,So11111111111111111111111111111111111111112,1D,usd,2024-12-27
183.98988496142908,196.74108128603916,182.4764655289375,195.16435121978301,19805371.525542542,1735344000,So11111111111111111111111111111111111111112,1D,usd,2024-12-28
195.16435121978301,197.37632554097456,188.15887691522104,189.70062988628533,21530165.3527171,1735430400,So11111111111111111111111111111111111111112,1D,usd,2024-12-29
189.70062988628533,196.22969810164616,185.5242357546462,190.92676716229968,24774226.582665164,1735516800,So11111111111111111111111111111111111111112,1D,usd,2024-12-30
190.92676716229968,198.86510632796706,187.73870198995135,188.86685465333568,25973152.56455924,1735603200,So11111111111111111111111111111111111111112,1D,usd,2024-12-31
188.86685465333568,194.90537740830706,187.5794676817026,193.8064645705789,23941148.853536118,1735689600,So11111111111111111111111111111111111111112,1D,usd,2025-01-01
193.8064645705789,210.32240051522544,193.00769066636184,208.11168431108732,36712548.46496883,1735776000,So11111111111111111111111111111111111111112,1D,usd,2025-01-02
208.11168431108732,219.79404936674985,205.39794538500078,217.92494106240522,33718209.51364244,1735862400,So11111111111111111111111111111111111111112,1D,usd,2025-01-03
217.92494106240522,218.02949123673372,213.51751867859912,216.68656161884022,25486724.102146823,1735948800,So11111111111111111111111111111111111111112,1D,usd,2025-01-04
