address,close,high,low,open,type,unixTime,volume,currency,timestamp
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.20557937796008782,0.24368024924177087,0.18321276373077758,0.225529423741071,1D,1733961600,9316056.589060666,usd,2024-12-12
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.189901228378169,0.2103550170171647,0.17948891309655093,0.20557937796008782,1D,1734048000,5322119.148068215,usd,2024-12-13
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1734191959681986,0.19414122003980694,0.1682022876488808,0.189901228378169,1D,1734134400,6905143.429758118,usd,2024-12-14
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1744531623177387,0.17775782376052715,0.1506530137463306,0.1734191959681986,1D,1734220800,6824997.984440631,usd,2024-12-15
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.21347814204972812,0.2201521739508572,0.15189468495820047,0.1744531623177387,1D,1734307200,12807097.786426095,usd,2024-12-16
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.19169441163742115,0.23253951944611767,0.19169441163742115,0.21347814204972812,1D,1734393600,5304127.218072815,usd,2024-12-17
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.19936367395761828,0.2287275856567862,0.18950969504258455,0.19169441163742115,1D,1734480000,10672567.545105109,usd,2024-12-18
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.18312484988915106,0.21123106617449372,0.1809394416299896,0.19936367395761828,1D,1734566400,2657290.577155192,usd,2024-12-19
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.18119123718508529,0.1845609617752521,0.15919703793149295,0.18312484988915106,1D,1734652800,2623711.485975241,usd,2024-12-20
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.16554491088655401,0.184637379064869,0.1654216148158638,0.18119123718508529,1D,1734739200,2129835.157133283,usd,2024-12-21
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.16364231561542997,0.17281807000173363,0.14606016267165386,0.16554491088655401,1D,1734825600,2099757.2691933014,usd,2024-12-22
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.16926892019545742,0.16979003529566805,0.15834941214650558,0.16364231561542997,1D,1734912000,1205634.8981354462,usd,2024-12-23
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.17284016622786716,0.1784786780573037,0.1643545749356697,0.16926892019545742,1D,1734998400,1143124.1141592176,usd,2024-12-24
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.17457764449716354,0.17994183493925048,0.1718235765023774,0.17284016622786716,1D,1735084800,498938.5585162781,usd,2024-12-25
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.16626606992321802,0.1766779197457153,0.16563766163781177,0.17457764449716354,1D,1735171200,366928.23442089005,usd,2024-12-26
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1643072459685676,0.1716839868721787,0.15691540500421616,0.16626606992321802,1D,1735257600,2160462.779502113,usd,2024-12-27
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.16562374122185247,0.17241136740362736,0.1627166304330276,0.1643072459685676,1D,1735344000,2070797.485325555,usd,2024-12-28
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.16491519820902803,0.16748878791954674,0.16185110316336376,0.16562374122185247,1D,1735430400,470246.19049849216,usd,2024-12-29
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.16165649396027268,0.167727577556519,0.1592935555016496,0.16491519820902803,1D,1735516800,1522204.62628792,usd,2024-12-30
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.15632232515728908,0.162496584442146,0.1539438882548079,0.16165649396027268,1D,1735603200,1655075.7390811057,usd,2024-12-31
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1548808959550266,0.15632232515728908,0.144002113971006,0.15632232515728908,1D,1735689600,3398426.955675657,usd,2025-01-01
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.15719471638863997,0.16044088927095101,0.15217474966775907,0.1548808959550266,1D,1735776000,1365237.3663432735,usd,2025-01-02
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.16221578806452455,0.1648586760891882,0.14262763384718016,0.15719471638863997,1D,1735862400,4381746.969544249,usd,2025-01-03
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.15688902112782943,0.16367355420075982,0.15244897962800505,0.16221578806452455,1D,1735948800,1721109.8307063652,usd,2025-01-04
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1493143800825182,0.15777524914717378,0.1489090277322636,0.15688902112782943,1D,1736035200,1734804.9017319458,usd,2025-01-05
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.15192126785033175,0.15564353504025005,0.14728604388341054,0.1493143800825182,1D,1736121600,1101203.0613980202,usd,2025-01-06
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13747315370540608,0.15229090601166975,0.1328423832165633,0.15192126785033175,1D,1736208000,2829144.1455119676,usd,2025-01-07
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13087804937264721,0.1409781675149702,0.12302080857371712,0.13747315370540608,1D,1736294400,2671802.4394121584,usd,2025-01-08
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12079269368124441,0.13270886873910193,0.11802171381925905,0.13087804937264721,1D,1736380800,1460130.508831299,usd,2025-01-09
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12736342766190092,0.1315074156356655,0.12079269368124441,0.12079269368124441,1D,1736467200,1749129.0110146247,usd,2025-01-10
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12164624188759682,0.12736342766190092,0.11816532490398053,0.12736342766190092,1D,1736553600,1637384.7813064787,usd,2025-01-11
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13842207273438495,0.14226549727355645,0.12164624188759682,0.12164624188759682,1D,1736640000,3513126.8157855584,usd,2025-01-12
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1169835494073105,0.13842207273438495,0.10484269767949422,0.13842207273438495,1D,1736726400,6833934.196756716,usd,2025-01-13
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.11868392442318632,0.12391978487219854,0.11676616599071903,0.1169835494073105,1D,1736812800,1442631.3879611485,usd,2025-01-14
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13347115446787955,0.13550684364228874,0.11465418807239304,0.11868392442318632,1D,1736899200,3150060.974591076,usd,2025-01-15
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12747401378744852,0.13513263704328343,0.1274187206751404,0.13347115446787955,1D,1736985600,1285252.401587457,usd,2025-01-16
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13761299863600113,0.14384709299580664,0.12747401378744852,0.12747401378744852,1D,1737072000,1977341.4519162264,usd,2025-01-17
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1265092769206752,0.14100336520260315,0.1264911905867649,0.13761299863600113,1D,1737158400,2327843.5137690646,usd,2025-01-18
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1227022236656046,0.13567675775547433,0.11822304259403046,0.1265092769206752,1D,1737244800,3095347.4778818116,usd,2025-01-19
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1148682059377314,0.12343443562872776,0.10875370811559051,0.1227022236656046,1D,1737331200,4307396.541873202,usd,2025-01-20
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1143634419388758,0.11952118880361703,0.10848345031362681,0.1148682059377314,1D,1737417600,2113503.134151108,usd,2025-01-21
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.11901316354050484,0.12018708246836897,0.11272222227059218,0.1143634419388758,1D,1737504000,1333720.523016972,usd,2025-01-22
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12353193118783803,0.12572272158878733,0.11236319513255306,0.11901316354050484,1D,1737590400,1847435.7972886837,usd,2025-01-23
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13965480736152003,0.14486806165186283,0.12353193118783803,0.12353193118783803,1D,1737676800,4292643.114217047,usd,2025-01-24
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.14411766021233074,0.1443287123063533,0.1329176448302095,0.13965480736152003,1D,1737763200,1738898.8185355403,usd,2025-01-25
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.14514024909369241,0.15195825225990675,0.14003134242779292,0.14411766021233074,1D,1737849600,1623614.1713345503,usd,2025-01-26
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1371580455631812,0.14514024909369241,0.13027307173218403,0.14514024909369241,1D,1737936000,1604904.4725826671,usd,2025-01-27
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13402482954008735,0.1420283281390887,0.13402482954008735,0.1371580455631812,1D,1738022400,2482021.9234151077,usd,2025-01-28
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1356790707466519,0.13927906158463566,0.12991723409918374,0.13402482954008735,1D,1738108800,918139.4991529987,usd,2025-01-29
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13469125496115716,0.13802961041769282,0.13098334612189158,0.1356790707466519,1D,1738195200,1911537.308341518,usd,2025-01-30
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12795744799004136,0.14103995699158012,0.1258035928229827,0.13469125496115716,1D,1738281600,1971603.578762613,usd,2025-01-31
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12466760852967301,0.13371274534001995,0.12466760852967301,0.12795744799004136,1D,1738368000,1584411.807333051,usd,2025-02-01
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.11437853312551136,0.12768506976762284,0.1137609972441199,0.12466760852967301,1D,1738454400,1293349.7488768806,usd,2025-02-02
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1347386091098713,0.13808076188424442,0.08778370242525864,0.11437853312551136,1D,1738540800,10104767.39254875,usd,2025-02-03
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12334676810664237,0.13575858595779242,0.11855055398841446,0.1347386091098713,1D,1738627200,1593632.4314681333,usd,2025-02-04
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.11380420793295593,0.1249089257114656,0.11087545657317474,0.12334676810664237,1D,1738713600,2691809.551928526,usd,2025-02-05
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.110345707174342,0.1195979259894762,0.110345707174342,0.11380420793295593,1D,1738800000,1029568.2888917347,usd,2025-02-06
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.11087792894086712,0.11657960138078066,0.10906534405139881,0.110345707174342,1D,1738886400,1343643.9989438108,usd,2025-02-07
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.10896403804878266,0.11353084743565893,0.10762855140835798,0.11087792894086712,1D,1738972800,1419569.9250915577,usd,2025-02-08
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.11235896570221396,0.12489641322313426,0.10877485973172875,0.10896403804878266,1D,1739059200,5386997.169727156,usd,2025-02-09
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.11417137361108962,0.12358607014176899,0.11104311472117713,0.11235896570221396,1D,1739145600,2654307.793455318,usd,2025-02-10
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1115216178920644,0.11704904100203865,0.10812611400978964,0.11417137361108962,1D,1739232000,2462657.164082792,usd,2025-02-11
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.11294727781164916,0.11484489032353158,0.1072078484066957,0.1115216178920644,1D,1739318400,3392267.8455310855,usd,2025-02-12
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.11520190320280804,0.11550508305162022,0.10810041994712606,0.11294727781164916,1D,1739404800,1683765.7139422472,usd,2025-02-13
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1318030013762991,0.13456028487562946,0.11304256533603543,0.11520190320280804,1D,1739491200,4231202.47633372,usd,2025-02-14
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1288275874429065,0.13592103264563496,0.12705232386288873,0.1318030013762991,1D,1739577600,2105259.0309075867,usd,2025-02-15
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1339279844749804,0.1416549978582741,0.1287246890478064,0.1288275874429065,1D,1739664000,2884228.846505531,usd,2025-02-16
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1392415747616478,0.1461545473875662,0.13100415257151588,0.1339279844749804,1D,1739750400,3347323.690493946,usd,2025-02-17
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1289887951365942,0.14299737771270477,0.1181160489024298,0.1392415747616478,1D,1739836800,6644625.103348788,usd,2025-02-18
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13147042536909526,0.13634621035206382,0.12451055669847669,0.1289887951365942,1D,1739923200,5018446.353102088,usd,2025-02-19
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12973305482396016,0.13370689327686322,0.12519659137020525,0.13147042536909526,1D,1740009600,1947334.888281562,usd,2025-02-20
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1371666320743903,0.1524919496190988,0.12687873388240198,0.12973305482396016,1D,1740096000,5240227.44136564,usd,2025-02-21
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.13697635912434927,0.1408516473162171,0.12642182138941443,0.1371666320743903,1D,1740182400,2463312.170841781,usd,2025-02-22
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1409607959663167,0.14522842166364994,0.13372544737940295,0.13697635912434927,1D,1740268800,2043450.1380779913,usd,2025-02-23
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1261023984010517,0.14332594075578292,0.1261023984010517,0.1409607959663167,1D,1740355200,1885425.6378429949,usd,2025-02-24
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.1291173378543964,0.13395438058196438,0.11456086073530405,0.1261023984010517,1D,1740441600,5381561.258372651,usd,2025-02-25
0x643C4E15d7d62Ad0aBeC4a9BD4b001aA3Ef52d66,0.12545980820717043,0.1326981893410654,0.12117870600436723,0.1291173378543964,1D,1740528000,1429717.321745576,usd,2025-02-26
